ano,uf,tipo,qtde
2014,RONDONIA,CAMINHAO TRATOR,5421
2014,RONDONIA,CAMINHONETE,60184
2014,RONDONIA,CAMIONETA,17967
2014,RONDONIA,MICROONIBUS,1027
2014,RONDONIA,MOTOCICLETA,330735
2014,RONDONIA,MOTONETA,95023
2014,RONDONIA,ONIBUS,4976
2014,RONDONIA,UTILITARIO,2256
2014,RORAIMA,AUTOMOVEL,55715
2014,RORAIMA,CAMINHAO,3892
2014,RORAIMA,CAMINHAO TRATOR,537
2014,RORAIMA,CAMINHONETE,14783
2014,RORAIMA,CAMIONETA,8180
2014,RORAIMA,MICROONIBUS,599
2014,RORAIMA,MOTOCICLETA,67347
2014,RORAIMA,MOTONETA,15940
2014,RORAIMA,ONIBUS,850
2014,RORAIMA,UTILITARIO,830
2014,SANTA CATARINA,AUTOMOVEL,2475418
2014,SANTA CATARINA,CAMINHAO,138924
2014,SANTA CATARINA,CAMINHAO TRATOR,48850
2014,SANTA CATARINA,CAMINHONETE,223850
2014,SANTA CATARINA,CAMIONETA,203647
2014,SANTA CATARINA,MICROONIBUS,10848
2014,SANTA CATARINA,MOTOCICLETA,771286
2014,SANTA CATARINA,MOTONETA,238093
2014,SANTA CATARINA,ONIBUS,17361
2014,SANTA CATARINA,UTILITARIO,29379
2014,SAO PAULO,AUTOMOVEL,15964014
2014,SAO PAULO,CAMINHAO,635180
2014,SAO PAULO,CAMINHAO TRATOR,162916
2014,SAO PAULO,CAMINHONETE,1323569
2014,SAO PAULO,CAMIONETA,1226221
2014,SAO PAULO,MICROONIBUS,107657
2014,SAO PAULO,MOTOCICLETA,4021583
2014,SAO PAULO,MOTONETA,722166
2014,SAO PAULO,ONIBUS,149290
2014,SAO PAULO,UTILITARIO,159851
2014,SERGIPE,AUTOMOVEL,270897
2014,SERGIPE,CAMINHAO,19382
2014,SERGIPE,CAMINHAO TRATOR,2037
2014,SERGIPE,CAMINHONETE,33331
2014,SERGIPE,CAMIONETA,10984
2014,SERGIPE,MICROONIBUS,3187
2014,SERGIPE,MOTOCICLETA,198391
2014,SERGIPE,MOTONETA,34127
2014,SERGIPE,ONIBUS,5928
2014,SERGIPE,UTILITARIO,3075
2014,Sem Informação,AUTOMOVEL,407652
2014,Sem Informação,CAMINHAO,43560
2014,Sem Informação,CAMINHAO TRATOR,6918
2014,Sem Informação,CAMINHONETE,59331
2014,Sem Informação,CAMIONETA,54730
2014,Sem Informação,MICROONIBUS,3444
2014,Sem Informação,MOTOCICLETA,672776
2014,Sem Informação,MOTONETA,224953
2014,Sem Informação,ONIBUS,5583
2014,Sem Informação,UTILITARIO,6065
2014,TOCANTINS,AUTOMOVEL,165250
2014,TOCANTINS,CAMINHAO,20829
2014,TOCANTINS,CAMINHAO TRATOR,4024
2014,TOCANTINS,CAMINHONETE,41521
2014,TOCANTINS,CAMIONETA,16873
2014,TOCANTINS,MICROONIBUS,1424
2014,TOCANTINS,MOTOCICLETA,190311
2014,TOCANTINS,MOTONETA,76912
2014,TOCANTINS,ONIBUS,4817
2014,TOCANTINS,UTILITARIO,2274
2015,ACRE,AUTOMOVEL,75235
2015,ACRE,CAMINHAO,6709
2015,ACRE,CAMINHAO TRATOR,708
2015,ACRE,CAMINHONETE,19694
2015,ACRE,CAMIONETA,6138
2015,ACRE,MICROONIBUS,325
2015,ACRE,MOTOCICLETA,97482
2015,ACRE,MOTONETA,19474
2015,ACRE,ONIBUS,1036
2015,ACRE,UTILITARIO,998
2015,ALAGOAS,AUTOMOVEL,305661
2015,ALAGOAS,CAMINHAO,19966
2015,ALAGOAS,CAMINHAO TRATOR,2295
2015,ALAGOAS,CAMINHONETE,40272
2015,ALAGOAS,CAMIONETA,22926
2015,ALAGOAS,MICROONIBUS,6001
2015,ALAGOAS,MOTOCICLETA,233103
2015,ALAGOAS,MOTONETA,33912
2015,ALAGOAS,ONIBUS,6673
2015,ALAGOAS,UTILITARIO,4380
2015,AMAPA,AUTOMOVEL,71370
2015,AMAPA,CAMINHAO,3876
2015,AMAPA,CAMINHAO TRATOR,310
2015,AMAPA,CAMINHONETE,16366
2015,AMAPA,CAMIONETA,6104
2015,AMAPA,MICROONIBUS,418
2015,AMAPA,MOTOCICLETA,56268
2015,AMAPA,MOTONETA,9935
2015,AMAPA,ONIBUS,1139
2015,AMAPA,UTILITARIO,753
2015,AMAZONAS,AUTOMOVEL,353384
2015,AMAZONAS,CAMINHAO,19519
2015,AMAZONAS,CAMINHAO TRATOR,3179
2015,AMAZONAS,CAMINHONETE,70541
2015,AMAZONAS,CAMIONETA,33952
2015,AMAZONAS,MICROONIBUS,3487
2015,AMAZONAS,MOTOCICLETA,214012
2015,AMAZONAS,MOTONETA,48274
2015,AMAZONAS,ONIBUS,8796
